TITLE,USER,COMMENT,LABEL
Hello Everyone,Dkniffen,"Hello, just getting my first post out of the way. I am waiting on my 101 and was wondering if I will need to do a firmware update or will it have the latest already installed?",awareness
Harmony G-XT MIDI,gWiiver,I am creating an app that can control my Helix in time with a backing track and would like to also control myHarmony G-XT   does any know the MIDI commands for it,awareness
Bug in DeepMind 6,tth-music,"Hi,I have found a little bug:Here what i have done:playing b-22: Brassmodifying something, lfo etc.changing the noise. here comes the bug:the menue shows the noisebutafter a few seconds the menu changes to the porta...",awareness
Bad RJ 45 on IQ18B Sub,GregBouten,,
Sooperbooth 2019 Berlin,TC-Mike,"Hi all,   here are some pictures from last weekends Sooperbooth in Berlin.     Arriving at the FEZ, a former east german socialist recreation center, located in a beautiful forrest area that hosts the worl...",awareness
Acoustic Play,cableman,I have heard on a FB user discussion group that very tight input vocal and instrument pitch tolerance is required on Acoustic Play in order to get acceptable harmony.  Is there a band of input tolerance that is used...,consideration
Compressor for the guitar input of Perform-VG,PerBurström,"Hi,the TCH Perform-VG is an awesome product, packed with features and in a fantastic format. However, one thing that would really take it to another level (at least for me) is if it had a compressor for the guitar input....",advocacy
Behringer Neutron sound don’t stop,Taker,"Hi, well I buyed a Behringer Neutron and I like it’s raw sound etc, but  must have a faulty unit.  The sound never stops  don’t have it patched, no midi connected but it’s always producing sound ...",decision
V55 Infinium combo,Scot19,If a tube goes out on the amplifier will it shut down and off?,awareness
"Song, played with DeepMind 6, Neutron and Moogs Theremini",tth-music,"Hi,the Behringer Synthis are wonderful!I've recorded a song, played with DeepMind 6, Neutron and Moogs Theremini.If you like, youu can here it on SoundCloud.",awareness
Crave Synthi,tth-music,"Hi, I've heard a lot about and from the CRAVE. But: I can't buy it. Does anyone know: is the CRAVE for sale?",awareness
Brainwaves MIDI Footswitch Remote Control,Heartm00d,"Hi, got my Brainwaves yesterday and I'd like to remote control it with a MIDI Footswitch. In Ableton Live I can see the Brainwaves in the Preferences/MIDI tab. So it should be possible. Does anyone know the MIDI commands...",awareness
Editing fx Delay in harmony g -xt ?,alpharack,"Hi all, is it possible , editind fx delay on Harmony g xt, ( time delay ) ( speed )  thanks  fr.G",awareness
MS-101 Sequencer start on playback,shx,"Hello! Just added the MS-101 to our kit list - upgraded its firmware to 1.0.8 to fix MIDI-IN over DIN (by the way, the .app for OSX included in the firmware zip doesn't work in Mojave, had to use Windows to complete...",awareness
Bugera V55 Infinium Combo,Scot19,"If a tube goes out on my Bugera V55 Infinium combo, will that shut the amp off?",awareness
Hall of Fame 2 Stereo only in one ear,TheStatPow,My hall of Fame 2 pedal is only outputting in the left hear (connected mono IN and stereo OUT with the proper Cables) Tried to change the dip switches to kill dry signal ... ect,awareness
Quintessence Moment to Latch changes sound,francoisdes,I noticed that just switching toggle switch MOMENT/LATCH mode (without effect engaged) from LATCH to MOMENT (and vice versa) changes the sound of my guitar. Does anyone noticed the same behaviour ?,awareness
"Sound Check Xpo, Mexico City was a BLAST!!!!!",GeeDavey,Aaron and I had a great time in Mexico City showing the people there our amazing TC Helicon gear.  I love the reaction when people first experience harmony out of our products.  Many thanks to Inovaudio for a ...,advocacy
Model D - 100% note length from sequencer doesn't work,HeikoKnuettel,"Hi !As you can see in the video below, a sequence where there is a MIDI note-off immediately followed by a MIDI note-on is not played correctly. This is true for every mode, Legato and both Multi Trigger modes.  Pl...",awareness
Hall of Fame 2 Firmware and level knob question,wolf1025,"Hey all, I'm having some trouble with my HOF2.  It wont accept any toneprint ""beams"" from my phone. Have tried it straight from my bass into the pedal as opposed to inline with my pedals.   Still no go.&nb...",awareness
Are these chords shown correct?,MechaN,Ed Sheeran I Don't Care Chords,awareness
Ditto X4 looper,greyoh,Hi bought a Ditto X4 looper via internet today - my second pedal I was under impression (sales dep music store)  the new ones will have quieter switches ? ( meaning the mechanical click noise) I play ...,awareness
How to set universal volume of effects presets in Voicelive ...,summerinfrance,Hi can someone please advise if it is possile to set universal volume for guitar and / or vocal effects in VL3 and if so how to do it using global preset.  BasicallyI don't like how the various guitar effects v...,awareness
Model D Synth Tool - No Device Detected,HeikoKnuettel,"Got my Model D today and having problems with the software ""Model D Synth Tool V1.1.1"". It seems it cannot find the synth, displaying ""No device detected"" in the lower right corner, clicking on ""Get started"" does nothing...",awareness
"Behringer xr18 air, aux sends",Snowman,Hey people. I just bought a XR18 Air. I'm familiar with digital boards but I'm having a problem with the aux sends. Aux 1 works but I can't control the volume on it. The only thing that can control the volume of the aux ...,awareness
Mix the PA mix from onstage monitors with XR18?!?,NoDrummer,"4 vocalist, guitar modeler, edrums, keyboard synth, sax & tracks running direct. We send the mix (via LR Mains) to the house. Since we run direct, we'd like to hear the same signal that we're sending FOH to mix ...",awareness
Harmony Singer Pedal - No Electric Guitar,NorfolkGreg,I've acquired an original Mk1 Harmony singer Pedal. Our band has no electric or electro-accoustic guitar but we do mic an acoustic guitar. Can we pass that signal through the pedal in order for it to detect the key ...,awareness
MS101 Ext Clock In,msmortimer,hey guys!Does anyone know how to trigger the ms101 through ext.clock in. I tried to do it with both my analog rytm and tanzmaus but no sucess. Does the 1/8 jack that goes into clock in have to be a mono jack?Can that be ...,awareness
Duplicator Change Hz,BrotherJimbo,"I want to change the reference tone for the Duplicator's Pitch Correction. I know this is possible on the VL3X, and so I was hoping I could load a preset or something that would permanently change my Pitch Correction to ...",decision
Nova system freezing,Albundy49,Got another Nova system.Love them.But this one freezes.Only pedal I have.can't get TC support.They want me to fill out a form.Ok.but it gets to the part of where did I buy it.And wants a pic of receipt.I bought it used o...,retention
Powersoak (PS1) Users: Some Issues...,pinhead,"A Quick Preface:I run my pedalboard into my V55 head (4 cable method), through a PS-1 Powersoak, and into my 212TS cabinet. The emulated mic (XLR) is ran to a Presonus interface for recording/band practice. The issu...",awareness
Behringer Ds 80 design draft,TC-Mike,Uli just showed the first design draft of the Yamaha Cs80 tribute    https://www.gearnews.com/behringer-releases-draft-of-ds-80-synthesizer-designs/         known  key specs sofar are...,awareness
Some questions to find answers to,Tramper,I have some questions if would Love to find answers to if i may.- Is there a way to remap the Layer Button if it is unused in a preset?-In the Main mixxer you find every imput exapt the vocals. Why did you chose this ? I...,awareness
Ways to make the Loop station function bettet,Tramper,hey i have the voice live 3 Extreme and i really love the sound i can get out of it with my guitar and Vocals.I worked with a lot of loopers in the Past and i see some issues . Would you be interested in getting a feedb...,decision
Pa,Joseph_72173,Can I use non powered sp2 pa speakers with the beringer pmp 2000d can I daisy chain non powered speakers,awareness
Flashback 2 Toneprint 1-2-3 clarify,Rik90,Hi everybody!I'm using TC Electronic Flashback 2...great pedal! But i want to ask you about toneprint 1-2-3 setting: I know that this function is useful to add other effects that are not included in the pedal. You also m...,awareness
BH250 DSP programmer?,OmarDV,"Dear All, I contacted TC electronics with this question but I din't got a responce even that the system assigm me a Case Number 00943022. Let see if anybody can share some light!  I am working on a BH250 a...",awareness
