TITLE,NAME,COMMENT,LABEL,CONFIDENCE
X32 MAC MINI SW AND DRIVER REQUIREMENTS,KENNETTALEX,I'm going to be using a mac mini (older model) and I was wondering what drivers and or sw will I need to have my X32 communicate with this computer?,awareness:consideration,0.34:0.592
Toneprint - Maybe a defective pedal?,Chauncey,I own a brand new laptop with windows 10 and used TonePrint-4.1.09 Corona Chorus - Plugged it in and couldn't get the effect to register.Put in a Mini HOF and it registered aoutomatically.Took Corona Chorus back to ...,,
"Play Acoustic create guitar boost with the ""Hit"" b...",KimCoby,"Is it possible to program the ""Hit"" button in the guitar effects of my Play Acoustic to increase guitar volume and effects? I understand the switch 3 has a guitar boost button but I'm looking to avoid another purchase.",consideration:awareness,0.723:0.515
Voicelive 3 Extreme for Backing Tracks - Guitar and Voice,tdblanchard,"I pulled the trigger on one of these things last week and have to say that I'm pretty amazied at it's capabilities so far (in my studio, haven't done a gig yet)!I lead a 10-piece disco tribute band and we use backing tra...",,
Brainwaves Wham volume drop,zeena81,"Hi, the volume of the bent note on the wham setting is considerably lower than the normal guitar sound.  I realise a bit of volume drop is common in these whammy style effects but this seems much lower than anything...",,
TC BodyRez basics,Phip,"Just got the TC BodyRez pedal and a couple easy questions, I hope, for anyone familiar:* there is no green light, only red or no light: This doesn't match what the manual describes. Is there something I'm doing wrong per...",,
Using Mic Mechanic 2 and Harmony G-XT at same time,patbo,"Hi all. I doubt I'm the first one to have this idea or ask this question, but I could find nothing on this. I own a Harmony G-XT. Great pedal, but I want something that gives you pitch correction wi/out having to run you...",,
Play Acoustic 12 string guitar effect,KimCoby,"I would like a guitar preset to mimic a 12 string. Does this exist? If not, does anyone have a suggestion for creating this and saving as a preset.",awareness:consideration,0.646:0.465
FCB1010 footswitch-LEDs programmable?,beagl,"Hi folks, is there a way to program the LEDs of the 10 foot switches of the FCB1010 to behave like on/off after pressing a switch two times?  By default they light up once the switch was pressed, and keep on un...",consideration,0.646
"Singthing Doubts (Looping, change presets names and manual)",AndreBelleza,Hello guys. I'm using Singthing for about 2 months with great results live. But have some questions. #1 - Looping time. Is it possible to double it? Is too short for some loops.#2 - Remane preset...,awareness,0.71
Nova system + Behringer FCB1010 how to use both expression ...,Wolfgang,Hello out there!I got the Nova System and a used Behringer FCB1010 midi foot controller. I use the  Nova in pedal mode with various patches depending on the needed effects in a song. So I'm able to switch on/off sin...,decision,0.369
Mic interference,MrMuffin," Hi...I need a little bit of help, i have a behringer c 3 microphone, but when I record something with an acoustic guitar, it sounds low and i hear a bunch of noise too... Also I have a xenyx 302 usb mixer, I run th...",awareness,0.449
Laptop charger guitar feedback,AlexHolland,"Hey everyone, I'm using a the UMC404hd, Digitech rp250 and an Inspiron laptop. With the laptop charger plugged in my all of my guitars have the same feedback (signal noise?) at an annoying high level. My keyboard hooked ...",,
Model Dmaj7!,FuzzTony,Check it out!  4th osc is my volca kick,consideration,0.413
Nova Dynamics parameters,mardamitaly,Anyone knows something about Nova Dynamics parameters?- Attack: min and max time values.- Ratio: min and max values.- Ratio vs Release parameter. I need to set them on about 30ms ad 4:1 respectively (with 150-200ms ...,awareness,0.93
Voicelive Play GTX - Guitar input not working,jacko,"Hello, Thanks for accepting me in the forum. I've just bought a second hand VoiceLive Play GTX, great unit, I love the vocal fx.The only problem is that guitar input seems not working. I plugged my guitar directly i...",decision,0.494
"TC Hall of Fame 2 - No kill-dry in Toneprint editor, just DI...",orbix,"I've been exploring the settings on the Hall of Fame 2 pedal I purchased recently, and I found a lot of references to the kill-dry option in the router section of the TonePrint editor on the HoF1 pedal, but everything fo...",decision,0.31
Voicelive Rack,litesnsirens,I’m currently using Voicelive 3 but I have it in a rack which makes it **bleep**bersome to edit.  So I was considering selling it and getting a voicelive rack which would make it very easy to edit.  I have a fe...,,
Guitarist/ Live Sound Engineer IEM Mix Question,petel,"Hi guys,  Quick question, what is the easiest way to switch the source for my In Ear Monitors from;- My mix (Output 1)- Band mix (Main L/R and Sub) I am the guitarist but also the sound engineer and it wou...",awareness,0.487
Deepmind 12D midi causing levels to jump like crazy,WillKronk,"I have a Behringer Deepmind 12D connected to the midi out on my UR44 with Ableton controlling the Behringer via midi out. My problem is that any time a value is adjusted on the Behringer, the levels will start constantly...",decision,0.615
Synths Resurrected Vol. 2.,UliBehringer,"The Prophet 5 we recently acquired form the famous British band ""Tears For Fears"" was in bad shape - I mean really bad.Watch how the amazing guys from our UK Care center put all their love and care into this restoration...",awareness,0.417
XR18 Probably simple answer but gotta ask,Rikdo,"Hello everyone, Within the XR18 mixer is it true that anything that I choose to be Post Fader is ""ALWAYS"" refering to being Post the LR fader?  Thank you ",,
FCB1010 Firware,Maax555,I was under the impression there was a firmware update for the FCB1010? Can someone please advise latest release adn where I can download it? I am refering to Behringer official firmware not the Uno release. thanks&...,awareness,0.426
Behringer ODYSSEY and CRAVE Live Funky Jam | Moot Booxlé,Anonymous,"Moot Booxlé has just published a new video featuring both the Behringer ODYSSEY and Crave.  ""Totally improvised, no preparation beforehand (except for the initial drum loop and sequence)! Having fun playing and...",awareness,0.856
Behringer Neutron--External audio,BDKAUFF,"Hey all, I'm having trouble routing external audio into my Neutron. I've followed the manual and have the VCA biais turned all the way up. I've got line level signal going into the audio input of the Behringer. Stil...",,
Pre-Amp Pedal Tube Power Amp Hybrid Design Suggestion,JohnButts,"I've owned several Bugeral amps and still retain a 6262, 333XL combo and 1990. All excellent amps in their own right. But, all of those amps are super loud for home use and now many stage venues prefer that those ""beasts...",awareness,0.283
Voicetone H1 distortion,JohnnyMac,"I'm not getting a red ""clipping"" light on my Voicetone H1 (just lighting up the green with singing) but the vocal signal is occasionally distorted. What am I setting wrong?",awareness,0.572
missing the rubber under pedal,SavageVinz,"Hi folks !!I need you ! I lost one of the two rubber stripes of my tc electronics ditto x2. Well, as a lot of pedals, my loop one got two rubber tape that I was supposed to stick after my first use. Unfortunately I lost ...",,
Looking for a drummer,FrankieJohnson,,,
Question about inserts impedance,omar9412,"Hello everyone, few days ago I bought the UMC204HD audio interface. I saw in the manual that the inserts impedance is (100ohms send and 10kOhm return)I would like to know if I'm understanding that specification in the ri...",consideration,0.406
Vocal Performer VE,rubenstolp,"Hey People, I was wondering why it is that the TC Helicon Perform VE doesn't stop morphing after I disable the button. When I turn morph off completely it just keeps taking the midi input and creating voices. This f...",awareness,0.487
Using a voice processor,grjmmr,I am playing in a 70's glam band and as I grow older my voice can no longer hit the high notes that I used to be able to do. Can anyone recommend a voice processor that can do octaves with having a guitar input?,,
Flashback 2 Delay - Transfer to pedal issue,Zan,"Hello, could anyone help me with Toneprint Editor? I've made two custom toneprints but after sent them to pedal (successfully and one by one), it doesn't work? all 3 slots sounds the same, what could be? Pedal must ...",awareness,0.459
Behringer XR18 / Behringer FCB 1010,PieterLauwers,"First of all, I am not a native English speaker. I read some threads on “ my problem”, but sometimes the answer are too technical.   The problem: - I play electro acoustic hurdy gurdy (yes, does exist!) through a Be...",awareness,0.307
Behringer Neutron,Burnart,I have my Neutron in a eurorack case along with  some other modules including a PGH Lifeforms SV1. I like the sounds I get from the Neutron but I have one complaint. Compared to other gear it is extremely low volume...,,
Vl3x,Oldfart13,Why does the clip light flash twice when changing to a preset with steps,awareness,0.827
Vl3x clip light,Oldfart13,"Why does the clip light flash twice, when changing to a preset with steps ",awareness,0.827
Voicelive 3 Wah Settings,RickMorin,"Hi all,I'm new to this site. I tried finding a solution here and in the manuals to no avail. Here's the situation:- Yamaha volume pedal plugged into the expression port of the VL3 (has a stereo plug).- I calibrated it an...",,
Vl3x interference,Oldfart13,Any one experance any funky sounds come out of it .. anything it should be and what was the problem,,
"Issue with sending TonePrint, with phone",JohnW63,"I hadn't used my Flashback Mini in a while, and when I did, it took a bit to load and now the interface is a little different and it has a ""wizard"" to show me HOW to use it. I never needed that. The issue is that some of...",,
Vl3x,Oldfart13,"When my NP light flashes so does my clip light only those 2, any ideas why",awareness,0.898
Vl3x stange noise,Oldfart13,Any else ever had the vl3x make funky sounds like alien machine gun fire and then a reverberated pop in the speaker... only way I can explain it . Ideas what it could be,awareness,0.57
Switcher with Tone print loader,guitargeartips,"I have Quintessence, Viscous Vibe, mini corona, mini vortex, mini flashback, mini hof, hof2 and will be getting a corona soon. I want to be able switch these on and off using a switcher and I want the switcher to be...",,
Booster+ Line Driver Distortion power supply jack replacemen...,BillC,"Hi, I need to replace the power supply jack on a 1980s Booster+ Line Driver Distortion. I think the part is a Cliff CL1382, available from Newark Electronics, but I want to make sure that is the correct part be...",awareness,0.539
Brainwaves Whammy,gcvrsa,"You guys did this just for me, didn't you? I can't wait to get the Brainwaves! This sounds like exactly the toneprint I'd have written myself. I just posted a bunch of stuff for sale on Reverb so I can afford the Brainw...",awareness,0.278
Pipeline Tremolo malfunction,Bucko,"I just purchased a Pipeline Tremolo and is doesnt work. The Volume knob and the Subdivision knob do nothing.  Does anyone know where the firmware is hidden on TCE's website? I'm rather pissed about this, support has...",awareness,0.518
Ditto X2 Looper,Talbotair,"I just hooked up my X2 for the first time and I can't figure out how to loop with it.  When I hit the ""record"" button all I get is a sine wave sound and it won't let me loop.  Has anyone had any issues with thi...",awareness,0.849
Bassplayer looking for singer & gitarist in Waloon Braba...,DIRRE,"Bassplayer looking for singer & gitarist for acoustic trio, to rearrange covers High level requested Marc",awareness,0.546
Spectra comp - Tone print library,vaal,"Hello everyone, I have a small enquiry regarding the toneprints samples listed on this page:https://www.tcelectronic.com/toneprints/p/P0DDP#googtrans(en|en) I use the latest versions of the android app and wind...",awareness,0.827
Repair FX150 Voice Solo Driver after a fall,RPguitarman123,Anybody ever drop their FX150 Voice Solo and then have no output sound or distorted sound?I have done this twice but it is easy to repair.  The problem is finding the driver.  Ten minutes with the proprietary s...,awareness,0.791
Ditto X4 Input levels?,chameleon1,"Hello,I want to have the signals of my dry guitar sound and loops from the Ditto X4 separated. And having only my guitar sound coming out of my Amp and the loops coming from the PA Speakers through a mixer. I tried ...",awareness,0.519
Sticky Posts,Fugubot,"There will be common questions. Please consider having sticky posts linked in this forum. One could be a link to Behringer synth product pages, firmware and manuals. Another for the Neutron would simply be “why you don't...",awareness,0.267
Polytune 3 - terrible pass through sound quality,camdenyoung,"Hey all, Just want to check in with others using the polytune 3.  When it's in line (in either buffered or true bypass mode) the unit is hugely affecting the tonal quality of my guitar.  It looses all top ...",awareness,0.794
Your Favorite TC Electronic Pedal?,MarcPautz,"Hi Folk!!  I'm loving my 3D Dimension Chorus!  And the Hall of Fame .. and, and ...  https://youtu.be/mWT9MX-9nkc https://youtu.be/OPCd6IzeTFs    ",awareness,0.582
Polytune3 firmware status,lwpweb,"hello, does anyone experienced how to read the actual firmware status of the polytune3?",awareness,0.609
Corona Chorus light doesn't blink and switch causes weir...,slegge55,"Hi --I have a Corona Chorus. When I send tone prints to the pedal via the TonePrint Mac application or iPhone App, the light doesn't blink to indicate it received the tone print.Is there a way to fix this?Also, regardin...",awareness,0.39
"Corona Chorus, what are default DIP switch settings?",slegge55,"I bought a used Corona Chorus.I read in the manual about the two DIP switches inside.I removed the back and the top switch is to the right, and the bottom switch is to the left.Can anyone tell me, what are the default sw...",,
Help a newbie - G System w/ Mesa Amps,Dan_RS,"Hey everyone,After an unfortunately experience with the G System a few years back when I purchased one which turned out to be broken, I've decided to try again. With a month long tour looming, the idea of a fairly compli...",,
Flashback 2 tap tempo with JHS red remote,DavidN123,Hi guysI have the flashback 2 and am trying to set up the tap tempo feature. I also have a JHS red remote and am wondering can I use that as the external foot switch? I'm not having any luck with it but would rather see ...,decision,0.96
VLT2 LCD Brightness?,BryanHaney,Is there a way to adjust screen brightness on the Voicelive Touch 2?The only option I can find is contrast.,consideration,0.887
Out of box - HISS and MACHINE NOISE almost drowning out voic...,JohnStaines,"Brand new unit, upgraded to ..366, all presents too much hiss and digital whining, almost same level as actual voice! So reset to factory defaults, so reset to factory defaults to do this demo (to eliminate error on my p...",awareness:negative,0.375:0.532
Flashback 2 no dry signal through stereo output,Bender1012,"Hi, I just got a Flashback 2 second hand and I'm not getting dry signal through the stereo output. Wet repeats are heard through both just fine. I read up on the dip switches and they don't help. In kill-dry mode it kill...",awareness,0.249
Quintessence Toneprint - setting an absolute pitch instead o...,Bender1012,"Hi, I own several TC pedals and like them a lot. Thinking of getting a Quintessence to use with my monophonic synth as a way to make it do multiple voices. One song I want to play has the same droned note on every chord....",awareness,0.402
WireTap,asher5017,HelloI bought a used wiretap. Dowloaded the app. The phone recognize the pedal but the pedal does not connect to the phone. What am i doing wrong? Is there a problem with android? Maybe the app?,awareness:decision,0.45:0.185
VL3 I have no sound from AMP,JulieCombs,I bought my dad the Voice live 3 last year. I hooked it and we had vocals through the PA and Guitar through the AMP he used it for around 8 months like this. I recently bought him a recording program and he decided to mo...,decision,0.468
HOF MINI ISSSUE,Cashewspaw,"My HOF mini is acting up, takes toneprints ok, using 300Ma power supply. what it does, breaks up when played thru more than 30 seconds seems ok in first 30 sec. when it breaks up it emits an electrical noise thru the am...",awareness,0.971
Chord Shifting - Quintessence or Brainwaves,glennkav,I have a Digitech Whammy that has the Classic/Chords option switch and I love to use the Chords option. I'm looking at either the Quintessence or the Brainwaves to replace it simply for pedal board space and a little mo...,,
PC Gaming with Shure SM7b/Voice Tone Correct XT/Auident id14...,RyanMelander,"Thank you so much for taking the time to read my post and offering any assistance. I really could use some of your audio professional and audio enthusiast help. I am a 46 year old, business professional that absolutely ...",,
Gauss Tape echo and 3rd Dimension in amp effect loop,oliviervgirard,Hi!I'm interested in those two pedals but can't find any infos if I they play well in effect loops or not.Anyone tried it already? Is there a huge volume drop or signal distortion?Thanks!,awareness,0.737
Ditto X4 Firmware updates problems,cedardreamer,"i am having problems with my ditto x4 and am hoping a firmware update can help. im noticing very annoying skips or ""pops"" at the end/beginning of every loop. i make ambient music and was hoping the ditto x4 would be a gr...",awareness,0.608
Using 2 Harmony G-XT’s in a duo,PatrickMontefus,I’ve been using a Harmony G-XT as a solo singer/guitarist for about ten years now. I’ve recently started playing as a duo with a bass player who sings also. He has purchased a G-XT also. My question is: can I run the gui...,decision,0.688
Noisy fan is continuously running,DarleiAbreu,"Hello there,I was surprised hearing my new (out of the box) DM12 fan running immediately after power-on (still cool), in a air-conditioned room. I was kind of surprised, since the turbulence noise is not negligible. Why ...",,
Ditto Looper AC Adapter,Philbert68,What kind of adapter do I use to power the basic Ditto Looper? There are no requirements or instruction anywhere.,awareness,0.29
Ditto Looper Battery Installation,Philbert68,There is no documentation on how to put a battery in the Ditto Looper. Do I have to get a “star” screwdriver bit and take the bottom off? I didn’t want to just start taking the thing apart. Thanks!,awareness,0.614
Polytune 3 Firmware update,savoyard1217,"I'm trying to find a link to the Polytune 3 firmware update, but every link I find appears to be dead. Is this available anywhere on the TC Electronic website?",awareness,0.76
Connecting Perform VG to Fishman SoloAmp?,JackBandel,"Hi. I am new to live gigs and just bought a TC Helicon Perform VG to use with my Fishman SA220 PA system. Question is.....how do I connect it to my Fishman? The Perform VG has one XLR Out and a 1/4"" Out, which is a pass ...",,
Play Acoustic Guitar Sounds,Mhyyj,"Feb 2019After suffering through repeated failures of my Play Electric unit in live performances, we switched to my Play Acoustic, with firmware 1.3.00 Build 48, loaded in via Voice Support 2 1.1.00 Build 136.Somewhere ...",awareness,0.769
VL3X Looping Lag Time,FrankDiskin,I have noticed that when I create or import a loop to my VL3X and play the loop there is sometimes a slight lag between when I press play and when the loop starts playing. Some songs I have created loops for require me t...,awareness,0.735
umod,BrucePipke,Can anyone tell me what the speed setting does.,awareness,0.74
Is Gilmours Strat really the first?,jesmikkelsen,David Gilmour decided to sell his guitar collection among them a Fender Stratocaster with serial number 0001. Is this really the first strat ever? icons1902,awareness,0.539
Flashback 2 mono->stereo bug with external tap tempo swit...,hermanzaum,"Hi guys,I believe I've found a nasty bug in the latest Flashback 2 firmware related to using its mono input and stereo outputs and then enabling the external tap tempo switch feature.Thanks in advance to anyone who also ...",,
How can I use the buttonmap to turn G amp on and off within ...,DaveBeal,"I'm trying to use the buttonmap to assign control of G amp guitar effect in my Voicelive3 Extreme. Although I can assign G amp to the Hit button, go to the amp effect tab and see the Hit Control icon spin, the amp remai...",awareness,0.84
Loop volume VoiceLive Touch 2,AnnaMira,"Hi! I'm trying to adjust the loop volume after recording a loop. The end goal is to be able to gradually mute and unmute a looped track. I see the ""mute"" function, but it only switches the volume from current to 0 instan...",awareness,0.851
How do you like the Music Apps you use? Take the survey!,TCH-Morgan," How do you like your music and singing apps? When do you use them, and how are they working for you?    In addition to TC Helicon's vocal processing hardware, we also develop apps, and we need your feedb...",Classification,Confidence
DM12 Windows editor connection issues,Glestik55,Does anyone know if the new firmware addresses this? I have the DM12 and have never been able to connect or use the editor as reported in all of the other messages.  And it does not look like anyone from Behringer h...,awareness,0.429
Mini connection in the Corona Chorus,Chauncey,Bought a full-size Corona chorus in November 2018 and decided to plug in the mini port to use the toneprint editor just this week. (I am using the newest software and have a 2-month old computer with windows 10). If I pl...,,
Synths Resurrected Vol. 3,UliBehringer,"The Prophet 5 we recently acquired form the famous British band ""Tears For Fears"" was in bad shape - I mean really bad.Watch how the amazing guys from our UK Care center put all their love and care into this restoration...",awareness,0.294
Lack of suport by Music Tribe,fastedtex,"G5 sounding very bad.Replaced both tubes.Still sounds bad - Fizzy-fuzzy and low volume.Contacted support - 3 weeks ago. With the information that I changed tubes.I have recieved 1(one, 2 weeks after the 1st) email back a...",negative,0.51
X Air Edit on Win10 Tablet,Karma180,"Hi, is anyone using X Air Edit on a Windows 10 tablet (one of the cheap ones)? I'm not happy with the iPad interface but love the X Air Edit PC interface on my win 10 laptop (but its not touch screen). I'm looking for su...",consideration,0.685
Play acoustic reverb ?. (pre delay) on guitar only?,faceache,"Hi There, I recently acquired a play acoustic and I'm starting to figure it out. I know there is an advanced reverb setting for guitar effects in which a pre delay can be set,.There does not seem to be an advanced reverb...",awareness,0.616
Neutron and Volca Sample jam,NelsPeterson,https://youtu.be/5r7D5OxliKA,awareness,0.641
Parametric EQ TonePrint Pedal,jeddak01,"I love to use parametric EQ to tweak the front-end tone of my amplifier. I have the amazing Empress Effects parametric EQ pedal, but it does not store multiple presets - all I can do is turn it on and off, and kick in a ...",,
Feedback noise with Voicelive Play GTX,ry_cooder,"Hello, I've bought a second-hand VLP GTX, great unit. I tried at home it works wonderfully.But I had a lot of problems during rehearsal. I have a lot of feedback noise from the PA because the unit captures all the s...",decision,0.482
Anyone know how to find what software version is currently o...,GrantThompson,,,
VoicePlay Live Practice Mode percentages,Tlink211,With VoicePlay Live I reset my Practice Mode as I practice each song. My percentages seem kind of low 70% to about 85% in most cases.I'm wondering if others use practice mode in this way and what their common precentages...,awareness,0.722
TC Helicon Play Acoustic Issue (Pitch Correction),ahuaman96,"I've been using my own presets with Correct Natural and it works great, but after some minutes all presets with Pitch Correction start sounding out of pitch really really bad, even though I'm singing well.  If ...",decision,0.571
100% effect signal on Voicelive touch 2 or Perform series ?,Biomekkanik,"Hello!Before I run of and buy..Is it possible to have 100% effect signal in Voicelive touch 2 or Perform series and have no dry signal at all. I mean like reverb and delays.  Manuals often say ""level"" inst...",awareness,0.363
How many floor monitors with the Behringer EUROPORT EPS500MP...,CaptainSlocum,Does anyone know how many EUROLIVE B205D floor monitors I can daisy chain to the EUROPORT EPS500MP3? (which I'm thinking of buying).,awareness,0.542
TC Brainwaves WHAM volume drop,zeena81," [I think I posted this earlier in the wrong forum. my apologies]Hi, the volume of the whammy sweep on the wham setting is considerably lower than the normal guitar sound.  I realise a bit of volume drop is com...",awareness,0.612
BG250 lost its low end,threshar,I've been using a BG250 for a number of years - usually works great. I was playing the other night and after a little while most of the low end disappeared.  Now the only way I get some is to crank the bass eq ...,decision:awareness,0.532:0.422
X32 MAC MINI SW AND DRIVER REQUIREMENTS,KENNETTALEX,I'm going to be using a mac mini (older model) and I was wondering what drivers and or sw will I need to have my X32 communicate with this computer?,consideration:awareness,0.493:0.489
Toneprint - Maybe a defective pedal?,Chauncey,I own a brand new laptop with windows 10 and used TonePrint-4.1.09 Corona Chorus - Plugged it in and couldn't get the effect to register.Put in a Mini HOF and it registered aoutomatically.Took Corona Chorus back to ...,,
"Play Acoustic create guitar boost with the ""Hit"" b...",KimCoby,"Is it possible to program the ""Hit"" button in the guitar effects of my Play Acoustic to increase guitar volume and effects? I understand the switch 3 has a guitar boost button but I'm looking to avoid another purchase.",consideration,0.508
Voicelive 3 Extreme for Backing Tracks - Guitar and Voice,tdblanchard,"I pulled the trigger on one of these things last week and have to say that I'm pretty amazied at it's capabilities so far (in my studio, haven't done a gig yet)!I lead a 10-piece disco tribute band and we use backing tra...",,
Brainwaves Wham volume drop,zeena81,"Hi, the volume of the bent note on the wham setting is considerably lower than the normal guitar sound.  I realise a bit of volume drop is common in these whammy style effects but this seems much lower than anything...",,
TC BodyRez basics,Phip,"Just got the TC BodyRez pedal and a couple easy questions, I hope, for anyone familiar:* there is no green light, only red or no light: This doesn't match what the manual describes. Is there something I'm doing wrong per...",awareness,0.462
Using Mic Mechanic 2 and Harmony G-XT at same time,patbo,"Hi all. I doubt I'm the first one to have this idea or ask this question, but I could find nothing on this. I own a Harmony G-XT. Great pedal, but I want something that gives you pitch correction wi/out having to run you...",,
Play Acoustic 12 string guitar effect,KimCoby,"I would like a guitar preset to mimic a 12 string. Does this exist? If not, does anyone have a suggestion for creating this and saving as a preset.",awareness:consideration,0.907:0.551
FCB1010 footswitch-LEDs programmable?,beagl,"Hi folks, is there a way to program the LEDs of the 10 foot switches of the FCB1010 to behave like on/off after pressing a switch two times?  By default they light up once the switch was pressed, and keep on un...",consideration:awareness,0.562:0.512
"Singthing Doubts (Looping, change presets names and manual)",AndreBelleza,Hello guys. I'm using Singthing for about 2 months with great results live. But have some questions. #1 - Looping time. Is it possible to double it? Is too short for some loops.#2 - Remane preset...,awareness,0.586
Nova system + Behringer FCB1010 how to use both expression ...,Wolfgang,Hello out there!I got the Nova System and a used Behringer FCB1010 midi foot controller. I use the  Nova in pedal mode with various patches depending on the needed effects in a song. So I'm able to switch on/off sin...,,
Mic interference,MrMuffin," Hi...I need a little bit of help, i have a behringer c 3 microphone, but when I record something with an acoustic guitar, it sounds low and i hear a bunch of noise too... Also I have a xenyx 302 usb mixer, I run th...",consideration,0.292
Laptop charger guitar feedback,AlexHolland,"Hey everyone, I'm using a the UMC404hd, Digitech rp250 and an Inspiron laptop. With the laptop charger plugged in my all of my guitars have the same feedback (signal noise?) at an annoying high level. My keyboard hooked ...",decision,0.316
Model Dmaj7!,FuzzTony,Check it out!  4th osc is my volca kick,consideration,0.719
Nova Dynamics parameters,mardamitaly,Anyone knows something about Nova Dynamics parameters?- Attack: min and max time values.- Ratio: min and max values.- Ratio vs Release parameter. I need to set them on about 30ms ad 4:1 respectively (with 150-200ms ...,awareness,0.632
Voicelive Play GTX - Guitar input not working,jacko,"Hello, Thanks for accepting me in the forum. I've just bought a second hand VoiceLive Play GTX, great unit, I love the vocal fx.The only problem is that guitar input seems not working. I plugged my guitar directly i...",decision,0.57
"TC Hall of Fame 2 - No kill-dry in Toneprint editor, just DI...",orbix,"I've been exploring the settings on the Hall of Fame 2 pedal I purchased recently, and I found a lot of references to the kill-dry option in the router section of the TonePrint editor on the HoF1 pedal, but everything fo...",decision,0.462
Voicelive Rack,litesnsirens,I’m currently using Voicelive 3 but I have it in a rack which makes it **bleep**bersome to edit.  So I was considering selling it and getting a voicelive rack which would make it very easy to edit.  I have a fe...,,
Guitarist/ Live Sound Engineer IEM Mix Question,petel,"Hi guys,  Quick question, what is the easiest way to switch the source for my In Ear Monitors from;- My mix (Output 1)- Band mix (Main L/R and Sub) I am the guitarist but also the sound engineer and it wou...",awareness,0.615
Deepmind 12D midi causing levels to jump like crazy,WillKronk,"I have a Behringer Deepmind 12D connected to the midi out on my UR44 with Ableton controlling the Behringer via midi out. My problem is that any time a value is adjusted on the Behringer, the levels will start constantly...",decision,0.285
Synths Resurrected Vol. 2.,UliBehringer,"The Prophet 5 we recently acquired form the famous British band ""Tears For Fears"" was in bad shape - I mean really bad.Watch how the amazing guys from our UK Care center put all their love and care into this restoration...",awareness,0.294
